dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4202991485595703
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.6659454345703125
-0.08,-0.08,0.4183910369873047
-0.08,-0.08,0.0
-0.08,-0.08,-0.6611183166503907
-0.08,-0.08,0.0
-0.08,-0.08,-0.5120201110839844
-0.08,-0.08,0.0
-0.08,-0.08,-0.6236621856689453
-0.08,-0.08,0.0
-0.08,-0.08,-0.746456527709961
-0.08,-0.08,0.0
-0.08,-0.08,-0.5664787292480469
-0.08,-0.08,0.6570659637451172
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.41309432983398436
0.091,0.091,0.4112541198730469
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.7267257690429687
-0.08,-0.08,0.4244083404541016
-0.08,-0.08,0.0
-0.08,-0.08,-0.7024063110351563
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.7322769165039062
-0.08,-0.08,0.0
-0.08,-0.08,-0.45383758544921876
-0.08,-0.08,0.0
-0.08,-0.08,-0.7544445037841797
-0.08,-0.08,0.5086307525634766
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,-0.4132946014404297
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4650379180908203
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,-0.5201362609863281
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.5641944885253907
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.6663322448730469
-0.08,-0.08,0.0
-0.08,-0.08,-0.4549346923828125
-0.08,-0.08,0.0
-0.08,-0.08,-0.43503990173339846
-0.08,-0.08,0.4852928161621094
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
